TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_TUTORIAL_CANNON_2,"This is your new village, isn't it lovely! Life here would be perfect if it wasn't for....",Voici votre nouveau village. N'est-il pas magnifique ? La vie serait parfaite ici-bas si...,"Dies ist dein neues Dorf. Wunderschön, nicht wahr? Das Leben wäre wahrhaftig perfekt, wenn es da nicht ...","Esta es tu nueva aldea, ¿a que es preciosa? Aquí la vida sería perfecta de no ser por...","Questo è il tuo nuovo villaggio, bello vero? La vita qui sarebbe perfetta se non fosse...","Dit is je nieuwe dorp, prachtig toch? Het leven zou hier perfect zijn als we geen....","Dette er den nye landsbyen din, er den ikke søt! Livet her hadde vært perfekt hvis det ikke var for ...","Esta é a sua nova aldeia, não é linda?! A vida aqui seria perfeito se não fosse ....","Bu yeni köyün, çok sevimli değil mi! Burada hayat harika olurdu ancak..."
TID_TUTORIAL_CANNON_3,"Oh no, it's the Goblin Horde! Quick, let's set up a Cannon to defend the village!","Oh non ! Voici la horde de gobelins ! Vite, installons un canon pour défendre le village !","Oh nein, die Koboldhorde! Schnell, stell eine Kanone auf, um das Dorf zu verteidigen!","¡Oh, no! ¡La horda de duendes! ¡Rápido, pongamos un cañón para defender la aldea!","Oh no, l´orda di Goblin! Presto, piazziamo un cannone per difendere il villaggio!","O nee, het zijn de gobelins! Snel, zet een kanon neer om het dorp te verdedigen!",Å nei! det er nissehorden! Vær snar! La oss sette opp en kanon for å forsvare landsbyen!,"Oh não, é a Horda Goblin! Rápido, vamos armar um canhão para defender a aldeia!","Olamaz, Goblin Sürüsü! Çabuk, köyü savunmak için bir Top hazırlayalım!"
TID_TUTORIAL_CANNON_4,Place the Cannon in the center of the village. We must protect the Town Hall!,Placez le canon au centre du village. Nous devons protéger l'hôtel de ville !,Platziere die Kanone im Dorfzentrum. Wir müssen das Rathaus schützen!,Pon el cañón en el centro de la aldea. ¡Debemos proteger el ayuntamiento!,Metti il cannone al centro del villaggio. Dobbiamo proteggere il municipio!,Zet het kanon in het centrum van het dorp neer. We moeten het stadhuis beschermen!,Plasser kanonen i midten av landsbyen. Vi må beskytte rådhuset!,Coloque o canhão no centro da aldeia. Temos que proteger o Centro da Cidade!,Topu köyün ortasına yerleştir. Köy Binasını korumalıyız!
TID_TUTORIAL_CANNON_5,Now's not the time to be stingy. Spend some green gems to speed things up!,Ce n'est pas le moment d'être radin : dépensez quelques gemmes pour accélérer le processus !,"Jetzt ist nicht die Zeit, geizig zu sein. Gib ein paar grüne Juwelen aus, um die Sache zu beschleunigen!",No es el momento de ser tacaño. ¡Gasta gemas verdes para ir más rápido!,Non è il momento di essere taccagni. Spendi delle gemme verdi per velocizzare il processo!,We hebben nu niets aan zuinigheid. Geef groene edelstenen uit om de boel te versnellen!,Nå passer det ikke å være gjerrig. Bruk noen grønne smykker for å få opp hastigheten!,Agora não é a hora de ser mesquinho. Passe algumas pedras verdes para acelerar as coisas!,Cimlik etmenin zamanı değil. İşleri hızlandırmak için biraz yeşil taş harca!
TID_TUTORIAL_DEFEND_1,"Gwar, there they are! Goblin Horde ATTAAACK!!","Arrrgh ! Les voilà ! Horde de gobelins, À L'ATTAAAQUE !!!","Grarr, da sind sie! Koboldhorde zum AAAANGRIFF!!","¡Vaya, ya está aquí! Horda de duendes... ¡ATACAD!","Arrrrr, eccoli! Orda di Goblin ATTAAAACCOOO!!","Gwar, daar zijn ze al! Gobelins in de AAAAAAAANVAL!!","Grrr, der er de! Nissehorden ANGRIIIPER!","Gwar, lá estão eles! Horda Goblin ATACARRRR!","Harr, işte buradalar! Goblin Sürüsü, SALDIIIR!!"
TID_TUTORIAL_DEFEND_1b,"Gwahaah, what is this? Another puny human!",Aaah ! Mais qu'est-ce que c'est que ça ? Encore une de ces vermines d'humain !,"Grarrrr, was ist das? Noch ein mickriges Menschlein!","Aaaaah, ¿qué es esto? ¡Otr humanoo patético!","Gwahaah, cos'è questo? Un altro umano mingherlino!","Tsss, wat is dit? Alweer zo'n miezerige mens!","Grrr hæ, hva er dette for noe? Enda et puslete menneske!","Gwahaah, o que é isso? Outro ser humano insignificante!","Haharr, bu da ne? Bir sefil insan daha!"
TID_TUTORIAL_DEFEND_2,"Phew, that was a close call. Thanks Chief!","Fiou ! C'était moins une. Merci, chef !","Puh, das war knapp. Danke, Häuptling!","Vaya, ha faltado poco. ¡Gracias, jefe!","Fiuu, c´è mancato poco. Grazie, Capo!","Poeh, dat scheelde niet veel. Bedankt, chief!","Puh, det var nære på. Takk, høvding!","Ufa, foi por um triz. Obrigado, Chefe!","Uf, bunu ucuz atlattık. Teşekkürler Şef!"
TID_TUTORIAL_DEFEND_4,We built the village on a Ley Line. That means the Cannon will magically repair itself over time.,"Nous avons construit le village sur des lignes telluriques, ce qui signifie que le canon se réparera comme par magie au fil du temps !","Wir haben das Dorf auf einer Kraftlinie errichtet. Das bedeutet, dass sich die Kanone mit der Zeit selbst magisch repariert.","Hemos construido la aldea sobre una Línea Ley. Es decir, el cañón se reparará mágicamente con el tiempo.",Abbiamo costruito il villaggio su una Ley Line. Il che significa che il cannone si riparerà da solo con il passare del tempo.,We hebben het dorp op een leylijn gebouwd. Dat betekent dat het kanon zich na verloop van tijd op magische wijze herstelt.,Vi har bygd landsbyen på en leylinje. Det betyr at kanonen reparerer seg selv på magisk vis etter hvert.,Nós construímos a vila em uma Linha Reta. Isso significa que o canhão irá magicamente reparar-se ao longo do tempo.,Köyü bir Ley Hattının üzerine inşa ettik. Bu sayede Top zamanla kendi kendine onarılacak.
TID_TUTORIAL_DEFEND_5,"Gwarh, GOLD! We goblins love gold!","Ouah ! De l'OR ! Nous, les gobelins, adorons l'or !","Grarr, GOLD! Wir Kobolde lieben Gold!","¡Vaya, ORO! ¡Los duendes amamos el oro!","Gwarh, ORO! Noi Goblin adoriamo l´oro!","Gwarh, GOUD! Wij gobelins zijn dol op goud!",Grrr - GULL! Vi nisser elsker gull!,"Gwarh, OURO! Nós goblins amamos ouro!","Harr, ALTIN! Biz goblinler altını çok severiz!"
TID_TUTORIAL_DEFEND_BUTTON,Bring it on!,C'est parti !,Her damit!,¡Vamos allá!,Avanti!,Kom maar op!,Sett i gang,Cai dentro!,Gelsin!
TID_TUTORIAL_WORKER_1,"Wow, nice going! Now we need to get this village into fighting shape.",Ouah ! Super ! Il faut maintenant transformer ce village en machine de guerre.,"Wow, gut gemacht! Jetzt müssen wir dieses Dorf für den Kampf rüsten.","¡Vaya, bien hecho! Ahora preparemos la aldea para combatir.","Wow, bella partenza! Adesso dobbiamo preparare il villaggio per le battaglie.","Wauw, dat gaat lekker! Nu moeten we dit dorp gevechtsklaar zien te krijgen.",Jøye meg! Kule greier! Nå må vi få denne landsbyen i kampberedskap.,"Uau, maravilha! Agora precisamos colocar essa aldeia em forma para combate.","Vay, iyi iş! Şimdi bu köyü savaşabilir hale getirmemiz lazım."
TID_TUTORIAL_WORKER_2,Hiring a second builder will let you start two constructions simultaneously.,Embaucher un deuxième ouvrier vous permettra de construire deux choses à la fois.,"Indem du einen zweiten Bauarbeiter anheuerst, kannst du an zwei Gebäuden gleichzeitig arbeiten.","Si contratas a un segundo constructor, podrás empezar dos obras a la vez.",Assumendo un altro muratore potrai avviare due costruzioni contemporaneamente.,Neem een tweede bouwer aan om twee gebouwen tegelijkertijd te bouwen.,Hvis du leier en bygger til kan du starte to konstruksjoner samtidig.,A contratação de um segundo construtor permitirá iniciar duas construções simultaneamente.,İkinci bir inşaatçı tutarak aynı anda iki inşaata başlayabilirsin.
TID_TUTORIAL_ELIXIR_1,Elixir is essential for training troops and building many structures.,L'élixir est essentiel pour former les troupes et construire des bâtiments.,"Elixier ist notwendig, um Truppen zu trainieren und viele Gebäude zu errichten.",El elixir es esencial para adiestrar tropas y construir muchas estructuras.,L´elisir è fondamentale per addestrare le truppe e costruire molte strutture.,Elixir heb je nodig voor het trainen van troepen en het bouwen van gebouwen.,Eliksir er avgjørende for å trene soldater og bygge mange strukturer.,O Elixir é essencial para a formação de tropas e construção de várias estruturas.,İksir askerleri eğitmek ve birçok binayı inşa etmek için gereklidir.
TID_TUTORIAL_ELIXIR_2,You can pump Elixir from the underground Ley Line. Let's try it!,Vous pouvez pomper l´élixir depuis les lignes telluriques. Essayez pour voir !,Du kannst Elixier aus der Kraftlinie im Untergrund pumpen. Versuch es mal!,Puedes extraer elixir de las Líneas Ley que pasan por debajo de la aldea.¡Inténtalo!,Puoi pompare Elisir dalla Ley Line sotterranea. Proviamo!,Je kunt elixir oppompen via de ondergrondse leylijn. Probeer het maar!,Du kan pumpe eliksir fra den underjordiske leylinjen. La oss prøve det!,Você pode bombear Elixir da Linha Reta subterrânea. Vamos tentar!,Yeraltındaki Ley Hattından İksir pompalayabilirsin. Haydi dene!
TID_TUTORIAL_ELIXIR_STORAGE_1,The collector can only store a small amount of Elixir.,L'extracteur ne peut contenir qu'une petite quantité d'élixir.,Der Sammler kann nur eine kleine Menge Elixier lagern.,El recolector solo puede almacenar una pequeña cantidad de elixir.,L'estrattore può contenere solo una piccola quantità di elisir.,De pomp kan maar een kleine hoeveelheid elixir opslaan.,Samleren kan bare lagre en liten mengde eliksir.,O coletor só pode armazenar uma pequena quantidade de Elixir.,Toplayıcı yalnızca az bir miktar İksir depolayabilir.
TID_TUTORIAL_ELIXIR_STORAGE_2,Let's build a Storage vat so we can stockpile the stuff!,Construisons un réservoir pour augmenter notre capacité de stockage !,"Bauen wir ein Lager, damit wir das Zeug horten können!",¡Construyamos un almacén para guardar las cosas!,Costruiamo un Deposito in modo da poterlo conservare.,Bouw een depot zodat we er zoveel mogelijk van op kunnen slaan!,La oss bygge en lagertank så vi kan oppbevare mer av stoffet!,Vamos construir um tanque de armazenamento para que possamos estocar o material!,Stoklamak için haydi bir Depo inşa edelim!
TID_TUTORIAL_GOLD_STORAGE_1,We also need a safe place to store our gold reserves.,Il nous faut également un endroit sûr où stocker nos réserves d'or.,Außerdem brauchen wir einen sicheren Ort für unsere Goldreserven.,También necesitamos un lugar seguro para las reservas de oro.,"Ci serve anche un luogo sicuro, dove conservare le nostre riserve d´oro.",We hebben ook een veilige plek nodig om ons goud op te slaan.,Vi trenger også et trygt sted å lagre gullreserven vår.,Precisamos também de um lugar seguro para armazenar nossas reservas de ouro.,Altın kaynaklarımızı saklamak için güvenli bir yer de gerekiyor.
TID_TUTORIAL_GOLD_STORAGE_2,Build a Gold Storage so we can stockpile gold!,Construisez une réserve d'or pour augmenter notre capacité de stockage !,"Baue ein Goldlager, damit wir das Gold horten können!",¡Construye un almacén de oro para poder guardarlo!,Costruisci un Deposito per accumulare l´oro.,Bouw een gouddepot zodat we het goud veilig op kunnen bergen!,Bygg et gullager så vi kan oppbevare mer gull!,Construa uma Armazenagem de Ouro para estocarmos ouro!,Altın stoklayabilmemiz için bir Altın Deposu inşa et!
TID_TUTORIAL_BARRACK_1,"Chief, we need an army to fight those goblins! Let's build a Barracks.","Chef, nous avons besoin d'une armée pour combattre ces gobelins ! Construisons une caserne.","Häuptling, wir brauchen eine Armee, um mit diesen Kobolden fertigzuwerden! Bauen wir eine Kaserne.",¡Necesitamos un ejército para luchar contra los duendes! Construyamos un cuartel.,"Capo, ci serve un esercito per combattere i Goblin! Costruiamo una Caserma.","Chief, we hebben een leger nodig om tegen die gobelins te vechten! Bouw een kazerne.","Høvding, vi trenger en armé til å bekjempe de nissene! La oss bygge brakker.","Chefe, precisamos de um exército para lutar contra os goblins! Vamos construir um Quartel.","Şef, bu goblinlerle savaşmak için bir ordu lazım! Haydi bir Kışla inşa edelim."
TID_TUTORIAL_TRAIN_1,Now let's train some troops!,Formons des troupes !,Und jetzt lass uns ein paar Truppen trainieren!,¡Preparemos a las tropas!,Adesso addestriamo delle truppe!,Train nu wat troepen!,La oss trene noen soldater!,Agora vamos treinar algumas tropas!,Şimdi biraz asker eğitelim!
TID_TUTORIAL_TRAIN_2,Tap the Barracks and choose Train Troops,Touchez la caserne puis Former des troupes,"Tippe die Kaserne an und wähle ,,Truppen trainieren\q",Toca el cuartel y selecciona \qEntrenar\q.,Tocca la Caserma e quindi seleziona Addestra truppe.,Tik op de kazerne en kies Troepen trainen,Trykk på brakkene og velg Tren soldater,Toque Quartel e escolha Treinar Tropas,Kışlaya dokun ve Asker Eğit'i seçin
TID_TUTORIAL_CHANGE_NAME,That was a great battle! How shall you be known in our history?,Quelle bataille ! Sous quel nom souhaitez-vous entrer dans l'histoire ?,Das war ein toller Kampf! Wie sollst du in unserer Geschichte erinnert werden?,¡Ha sido una gran batalla! ¿Como deberiamos conocerte en nuestra historia?,È stata una battaglia grandiosa! Come sarai ricordato nella nostra storia?,Dat was een geweldig gevecht! Hoe wil je genoemd worden?,Det var et mektig slag! Hvordan skal vi beskrive deg i historien vår?,Essa foi uma grande batalha! Como você deve ser registrado em nossa história?,Şahane bir savaştı bu! Tarihimizde nasıl bilineceksin?
TID_TUTORIAL_TOWN_HALL_1,"With the gold we took from the goblins, we can afford to upgrade the Town Hall.","Grâce à l'or que nous avons pris aux gobelins, nous pouvons maintenant améliorer l'hôtel de ville.","Mit dem Gold, das wir den Kobolden abgenommen haben, können wir es uns leisten, das Rathaus zu verbessern.","Con el oro que le quitamos a los duendes, podemos permitirnos mejorar el ayuntamiento.","Con l´oro che abbiamo preso ai Goblin, possiamo migliorare il municipio.","Met het goud dat we van de gobelins af hebben gepakt, kunnen we het stadhuis upgraden.","Med gullet vi tok fra nissene, har vi råd til å oppgradere rådhuset.","Com o ouro que pegamos dos goblins, podemos atualizar o Centro da Cidade.",Goblinlerden aldığımız altında şimdi Köy Binamızı yükseltebiliriz.
TID_TUTORIAL_TOWN_HALL_2,Good job! We can now build new buildings thanks to the Town Hall upgrade.,"Beau travail ! Grâce à l'amélioration de l'Hôtel de ville, nous pouvons désormais construire de nouveaux bâtiments.",Gute Arbeit! Dank der Rathaus-Verbesserung können wir jetzt neue Gebäude bauen.,¡Buen trabajo! Ahora podemos construir nuevos edificios gracias a la mejora del ayuntamiento.,Ottimo lavoro! Ora puoi costruire nuovi edifici grazie al Municipio migliorato.,Goed gedaan! Dankzij de upgrade van het stadhuis kunnen we nu nieuwe gebouwen neerzetten.,"Godt jobba! Nå kan vi bygge nye bygninger, takket være oppgraderingen av rådhuset.",Bom trabalho! Agora podemos construir novos edifícios graças à atualização do Centro da Cidade.,İyi işti! Belediye Binasını yükseltmen sayesinde şimdi yeni binalar inşa edebilirsin.
TID_TUTORIAL_ACHIEVEMENTS,"If you're looking for new challenges to beat, just ask me by tapping here.","Si vous cherchez à relever de nouveaux défis, touchez ici pour me demander.","Falls du nach neuen Herausforderungen suchst, frag mich einfach, indem du hierhin tippst.","Si buscas nuevos desafíos para batir, pulsa aquí.","Se cerchi nuove sfide, tocca qui e ti accontenterò.",Zoek je een nieuwe uitdaging? Vraag het mij door hier te tikken.,"Hvis du leter etter nye utfordringer å overvinne, bare spør meg ved å trykke her.","Se você está procurando novos desafios para vencer, basta me pedir tocando aqui.","Eğer kapışmak için yeni müsabakalar arıyorsan, buraya dokunarak bana sor."
TID_TUTORIAL_ACHIEVEMENTS2,"Chief, you obviously know what you're doing. The whole village is counting on you!",Chef ! On dirait que vous savez ce que vous faites. Tout le village compte sur vous !,"Boss, du weißt offenbar, was du tust. Das ganze Dorf zählt auf dich!","¡Jefe, obviamente sabes lo que haces. La aldea entera cuenta contigo!","Capo, ovviamente sai quello che stai facendo. Tutto il villaggio conta su di te!","Chief, je weet wat je te doen staat. Het hele dorp rekent op je!","Høvding, du vet opplagt hva du gjør. Hele landsbyen stoler på deg!","Chefe, você obviamente sabe o que está fazendo. A vila inteira está contando com você!","Şef, kesinlikle ne yaptığını biliyorsun. Tüm köy sana güveniyor!"
TID_GOBLIN_SPEAKS_1,Gwaaarh! I'm not through with you yet.,Arrrgh ! J'en ai pas encore fini avec vous.,Grarrrrr! Ich bin noch nicht mit euch fertig.,¡Aaaaarg! Aún no he acabado contigo.,Gwaaarh! Non ho ancora finito con te!,Gwaaarh! Ik ben nog niet klaar met jou.,Grrr aha! Jeg er ikke ferdig med deg ennå.,Gwaaarh! Eu não terminei com você ainda.,Harharr! Seninle işim bitmedi.
TID_GOBLIN_SPEAKS_2,"You may have beaten me once, but this goblin camp is a lot tougher.","Vous m'avez peut-être déjà battu, mais ce nouveau camp gobelin est bien plus résistant !","Ihr habt mich vielleicht einmal besiegt, aber dieses Koboldlager ist viel stärker.","Me has derrotado una vez, pero este campamento es mucho más duro.","Puoi avermi battuto una volta, ma questo accampamento di Goblin è ben più tosto!","Je mag me dan een keer verslagen hebben, maar dit gobelinkamp is heel wat lastiger.","Du klarte å slå meg én gang, men denne nisseleiren er mye sterkere.","Você pode ter me derrotado uma vez, mas este acampamento goblin é muito mais difícil.","Beni bir kez yenmiş olabilirsin, ama bu goblin kampı çok daha güçlü."
TID_TUTORIAL_GOLDSTORAGE,You also need a place to store all your precious gold!,Il nous faut également un endroit où stocker notre or si précieux !,"Du brauchst auch einen Ort, wo du dein kostbares Gold lagern kannst!","Además, ¡necesitas un lugar para almacenar el oro!",Ti serve anche un posto dove l´oro!,Je hebt een plek nodig om al dat waardevolle goud op te bergen!,Du trenger også et sted å lagre alt det verdifulle gullet!,Você também precisa de um lugar para armazenar todo seu ouro precioso!,Değerleri altınlarını saklayacak bir yere de ihtiyacın var!
TID_TUTORIAL_ELIXIRSTORAGE,That elixir needs a place to store it as well.,Cet élixir a aussi besoin d'être stocké quelque part.,Und das Elixier braucht auch ein Lager.,También necesitas un lugar para almacenar el elixir.,Anche l'elisir deve essere conservato da qualche parte.,Die elixir moet ook ergens op worden geslagen.,Denne eliksiren må også lagres et sted.,Esse elixir precisa de um lugar para armazená-lo também.,İksirin de bir yerde depolanması gerekiyor.
